SITE_ID,YEAR,VISIT_NO,XBKA,XUN,XBKF_W,XBKF_H,XINC_H,XPCM,XPCMG,XPMG,XPMGH,XPMGW,XCL,XGB,XC,XG,XCMW,XCMGW,PCAN_C,XCDENBK,XCDENMID,XEMBED,XFC_ALG,XFC_AQM,XFC_LWD,XFC_BRS,XFC_OHV,XFC_UCB,XFC_RCK,XFC_HUM,XFC_ALL,XFC_NAT,XFC_BIG,W1_HALL,W1_HNOAG,W1_HAG,W1H_WALL,W1H_PIPE,LSUB_DMM,LTEST,LRBS_TST,LDMB_BW5,LRBS_BW5,REACHLEN,XSLOPE,XDEPTH,RPGT75,RPGT100,RPMXDEP,RPXAREA,RP100,PCT_FN,PCT_SA,PCT_HP,PCT_RC,PCT_SAFN,PCT_SFGF,PCT_BIGR,PCT_BDRK,PCT_ORG,LSUBD_SD,V1W_MSQ,V4W_MSQ,V1TM100,V4TM100,SINU,SDDEPTH,XWIDTH,XWXD,XWD_RAT,SDWXD,PCT_FA,PCT_FAST,PCT_SLOW,PCT_POOL,PCT_DRS,PCT_SIDE,SAMPLED 
WCAP99-0542,2000,1,25.54545455,0.022727273,7.890909091,0.327272727,0.327272727,0.818181818,0.818181818,1,0.636363636,1,0.072727273,0.5125,0.173863636,0.370454546,0.570454546,0.830681818,0,74.06417112,54.54545455,66.18181818,0.361363636,0.027272727,0.004545455,0.013636364,0.045454546,0.004545455,0.104545455,0,0.172727273,0.172727273,0.113636364,1.386381818,0.068181818,1.3182,0,0,0.631710951,0.898216709,-0.266505758,1.283121558,-0.651410607,150,0.6,19.24752475,0,0,19.95,0.553111133,5.162370575,8.571428571,36.19047619,5.714285714,0,44.76190476,52.38095238,41.90476191,0,0,1.472113409,0.000582105,0,0.498,0,1.022122618,6.559582213,4.5,0.8001,27.75569214,0.276427187,0,50.49504951,49.5049505,0,0,0,YES 
WCAP99-0550,2000,1,41.22727273,0.005,2.181818182,0.254545455,0.254545455,1,1,1,0.954545455,0.909090909,0.219318182,0.652272727,0.340909091,0.322727273,0.527272727,0.669318182,0,97.05882353,95.05347594,73.33333333,0,0,0.068181818,0.077272727,0.272727273,0.009090909,0.190909091,0,0.618181818,0.618181818,0.268181818,0,0,0,0,0,0.753401222,1.710187001,-0.956785779,2.275671155,-1.522269933,156,12.892,5.81,0,0,10.9855,0.069184688,0.354793269,0,36.19047619,0,0,36.19047619,77.14285714,20.95238095,5.714285714,1.904761905,1.266584394,0.047734242,0.008552618,16.3275641,3.732051282,1.029977474,3.174058359,0.968421053,0.056473684,19.4981203,0.04960104,3.80952381,83.80952381,16.19047619,10.47619048,0,0,YES 
WCAP99-0552,2000,1,24.5,0,11.55454546,0.345454546,0.345454546,1,1,1,1,1,0.386363636,0.438636364,0.538636364,0.490909091,0.805681818,0.855681818,0,99.46524064,97.99465241,58.01886793,0,0,0.013636364,0.040909091,0.045454546,0.045454546,0.356818182,0.022727273,0.525,0.502272727,0.438636364,0.916681818,0.916681818,0,0.098486364,0.068181818,1.388798078,1.46319429,-0.074396212,1.933857017,-0.545058939,154.5,2.75,15.42307692,0,0,26.5775,0.301029546,4.286504854,0,16.19047619,0,0,16.19047619,38.0952381,59.04761905,0,2.857142857,1.134723701,0.000478944,0,1.978640777,0,1.048603871,6.249958924,5.745,0.9406,43.02910135,0.917429498,0,46.15384615,53.84615385,22.11538462,0,0,YES 
WCAP99-0558,2000,1,18.90909091,0,4.881818182,0.290909091,0.290909091,0.909090909,0.909090909,1,0.954545455,1,0.125,0.296590909,0.279545455,0.660227273,0.570454546,0.620454546,0,92.24598931,94.11764706,98.18181818,0.018181818,0.231818182,0,0.068181818,0.225,0,0.013636364,0,0.306818182,0.306818182,0.013636364,2.128818182,1.659118182,0.4697,0.068181818,0,-1.422234047,1.642518413,-3.064752461,1.898150055,-3.320384103,163.2,2.15,29.81188119,0,0,29.844,0.41741332,4.603823383,67.30769231,27.88461539,0,0,95.19230769,95.19230769,4.807692308,0,0,1.180497731,0.002965937,0,1.971813726,0,1.052591748,7.650768421,3.805,1.1758,13.17763205,0.631821644,0,23.76237624,76.23762376,0,0,0,YES 
WCAP99-0560,2000,1,31.77272727,0.022727273,17.22727273,0.545454546,0.581818182,0.545454546,0.545454546,1,1,1,0.011363636,0.469318182,0.075,0.632954546,0.443181818,0.781818182,0,45.98930481,9.49197861,55.27272727,0.177272727,0.068181818,0,0,0.068181818,0.013636364,0.302272727,0,0.384090909,0.384090909,0.315909091,0,0,0,0,0,1.647475205,1.668382826,-0.020907621,1.982272833,-0.334797629,280,1.85,36.77227723,0,0,60.69,2.420516178,15.56046115,0.952380952,23.80952381,0,0,24.76190476,33.33333333,66.66666667,7.619047619,0,1.490534256,1.20241E-05,0,0.020714286,0,1.028911244,18.03490016,10.49,4.02955,32.90374186,2.685203638,0,31.68316832,68.31683168,33.66336634,0,0,YES 
WCAP99-0574,2000,1,45.40909091,0.045454546,2.055454546,0.23,0.209090909,1,1,1,0.863636364,0.863636364,0.129545455,0.792045455,0.277272727,0.196590909,0.418181818,0.546590909,0.181818182,98.12834225,94.9197861,45.11111111,0.004545455,0,0.093181818,0.097727273,0.313636364,0.031818182,0.068181818,0,0.604545455,0.604545455,0.193181818,1.469713636,1.469713636,0,0,0,1.55483659,1.477634642,0.077201947,1.774643954,-0.219807365,148.5,4.9,8.948453608,0,0,19.965,0.075935625,1.02270202,0,8,0,0,8,32,67,5,1,0.965081121,0.065968844,0.053981359,32.34343434,25.21279461,1.045976373,3.959090631,1.568421053,0.170263158,17.7882039,0.192866057,1.030927835,64.94845361,35.05154639,9.278350516,0,0,YES 
WCAP99-0587,2000,1,51.95454546,0.068181818,3.981818182,0.318181818,1.118181818,1,1,1,1,1,0.272727273,0.557954546,0.434090909,0.271590909,0.684090909,0.857954546,0,94.65240642,95.98930481,44.90740741,0,0.004545455,0.184090909,0.118181818,0.161363636,0.093181818,0.579545455,0.05,1.186363636,1.136363636,0.906818182,1.484868182,1.484868182,0,0,0.818181818,2.127819845,2.252820299,-0.125000455,2.233649325,-0.105829481,153,14.15,18.46601942,0,0,62.0275,0.24605462,3.698860294,1.904761905,1.904761905,0,0.952380952,3.80952381,24.76190476,74.28571429,21.90476191,0.952380952,1.286136964,0.144583669,0.132345032,102.4980392,91.7372549,1.063347065,10.85268155,2.94,0.5317,19.76471018,0.337205091,0.970873786,49.51456311,50.48543689,39.80582524,0,0,YES 
WCAP99-0590,2000,1,24.85714286,0.028571429,8.054545455,0.457142857,0.290909091,1,1,1,1,1,0.159090909,0.5,0.540909091,0.489772727,1.2375,1.4875,0.090909091,89.83957219,67.11229947,54.70588235,0.078571429,0,0.085714286,0.064285714,0.078571429,0.014285714,0.221428571,0,0.464285714,0.464285714,0.321428571,0.33335,0.33335,0,0,0,1.464776684,1.43273804,0.032038644, , ,151.5,2,19.7704918, , , , , ,0,14.0625,0,0,14.0625,39.0625,59.375,0,1.5625,1.097825118,0.008625185,0,7.062046205,0,1.032285214,16.61263921,2.41,1.004666667,29.96111802,1.119653058,0,11.76470588,48.03921569,38.23529412,40.19607843,0,YES 
WCAP99-0592,2000,1,53.95454546,0.018181818,2.66,0.209090909,0.209090909,0.958333333,0.958333333,1,1,0.958333333,0.170833333,0.101041667,0.371875,0.698958333,0.65625,0.921875,0.769230769,80.39215686,65.19607843,57.4137931,0.008333333,0.045833333,0.091666667,0.066666667,0.166666667,0.104166667,0.466666667,0,0.895833333,0.895833333,0.6625,0,0,0,0,0,1.855999015,1.841277294,0.01472172,2.179845907,-0.323846892,148.5,7.41,13.67,0,0,20.04125,0.094429688,1.780492424,5.217391304,2.608695652,0,0,7.826086957,23.47826087,73.04347826,0,3.47826087,1.298203821,0.01495152,0,5.002020202,0,1.149147786,4.807517262,1.88,0.23125,17.02575811,0.098098702,0,80.80808081,19.19191919,8.080808081,0,100,YES 
WCAP99-0600,2000,1,24,0,6.981818182,0.254545455,0.254545455,0.952380952,1,1,0.666666667,0.95,0.081818182,0.727380952,0.272727273,0.317857143,0.579545455,0.685227273,0.045454546,67.64705882,46.92513369,54.74545455,0.225,0,0.013636364,0.022727273,0.009090909,0,0.009090909,0,0.054545455,0.054545455,0.022727273,0.962159091,0.681845455,0.280313636,0,0,1.435504005,1.546042121,-0.110538116,1.865697335,-0.43019333,153,2.65,19.36893204,0,0,47.9575,0.333626645,4.14307598,5.714285714,9.523809524,5.714285714,0,15.23809524,20.95238095,73.33333333,0,0,1.260529056,0.001225405,0,2.766013072,1.634640523,1.21798106,9.761860851,4.39,0.7568,28.0190386,0.254989907,0,65.04854369,34.95145631,8.737864078,0,0,YES 
WCAP99-0604,2000,1,64.63636364,0.081818182,5.636363636,0.545454546,0.581818182,1,1,1,0.454545455,1,0.210227273,0.667045455,0.465909091,0.323863636,0.893181818,1.085227273,0.090909091,97.59358289,91.57754011,44.18181818,0.004545455,0.036363636,0.05,0.05,0.022727273,0.063636364,0.597727273,0,0.784090909,0.784090909,0.711363636,0,0,0,0,0,2.33740565,2.376543917,-0.039138267,2.806733106,-0.469327456,153,13.64,25.47058824,0,0,71.60345569,0.352614782,6.683548151,0,0.952380952,0,0,0.952380952,7.619047619,90.47619048,0,1.904761905,0.786606406,0.023738246,0.010924626,32.3379085,16.12026144,1.057530279,14.36904393,3.735,1.03235,21.42710184,1.127020164,1.960784314,56.8627451,43.1372549,31.37254902,0,18.62745098,YES 
WCAP99-0605,2000,1,28.77272727,0,19.98181818,0.445454546,0.445454546,0.863636364,0.863636364,0.954545455,0.590909091,0.954545455,0.061363636,0.252272727,0.340909091,0.351136364,0.494318182,0.6625,0,81.01604278,48.93048128,44.09090909,0.031818182,0.004545455,0,0.009090909,0.072727273,0.004545455,0.209090909,0,0.295454546,0.295454546,0.213636364,1.409140909,1.257618182,0.151522727,0,0,1.850775462,1.449704985,0.401070477,1.543196461,0.307579,520,0.75,54.82178218,3,2,167.213,14.81525382,31.33996,6.730769231,0.961538462,0,0,7.692307692,19.23076923,79.80769231,8.653846154,0.961538462,1.370911166,0.000186708,0,0.408076923,0,1.162023858,42.08263206,13.71,8.0148,36.26614414,6.012713387,0,44.55445545,55.44554455,8.910891089,0,4,YES 
WCAP99-0606,2000,1,35.09090909,0.004545455,9,0.409090909,0.409090909,1,1,1,1,1,0.090909091,0.426136364,0.457954546,0.665909091,0.943181818,1.322727273,0,95.18716578,86.63101604,40.45454546,0,0,0,0.022727273,0.086363636,0.004545455,0.122727273,0,0.236363636,0.236363636,0.127272727,0.33335,0.33335,0,0,0,1.959924901,1.532532151,0.427392749,1.654454878,0.305470023,158.4,1.1,45.23232323,2,2,115.52,4.616964601,26.23275342,0,8.571428571,0,0,8.571428571,20,80,13.33333333,0,1.128066526,8.13692E-05,0,0.339646465,0,1.05036483,35.42679382,6.99,3.80545,22.39958536,4.249821364,0,29.29292929,70.70707071,41.41414141,0,0,YES 
WCAP99-0613,2000,1,33.5,0,9.818181818,0.390909091,0.390909091,1,1,1,0.681818182,1,0.180681818,0.302272727,0.486363636,0.645454546,1.028409091,1.560227273,0.045454546,93.5828877,83.95721925,32.36363636,0,0,0.027272727,0.05,0.059090909,0.004545455,0.231818182,0,0.372727273,0.372727273,0.263636364,0.757613636,0.575786364,0.181827273,0,0,2.481576466,2.085060166,0.3965163,2.337851717,0.143724749,198,4.5,39.46,0,0,67.55,0.622883076,6.920923067,0,1.904761905,0,0,1.904761905,4.761904762,95.23809524,14.28571429,0,0.859514176,0.005032922,0.002573045,11.91616162,3.789393939,1.022094497,14.60138363,6.445,2.4863,17.36402055,0.837736807,0,91,9,5,0,0,YES 
