SITE_ID,YEAR,VISIT_NO,LOC_NAME,DATE_COL,TEAM_ID,XSTATUS,VALXSTAT,SITESAMP,MLAT_DD,MLON_DD,XLAT_DD,XLON_DD,MLAT_DEG,MLAT_MIN,MLAT_SEC,MLON_DEG,MLON_MIN,MLON_SEC,XLAT_DEG,XLAT_MIN,XLAT_SEC,XLON_DEG,XLON_MIN,XLON_SEC,XDIMEN,XGPSCOOR,VER_STAT,GPS_VER,LOC_VER,SIG_VER,RDS_VER,TOP_VER,OTH_VER,RCHWIDTH,RCHUP,RCHDOWN,RCHLEN,COM_IM,STATE,TRCHLEN,XLONDD 
WAZP99-0605,2000,1,BLUE RIVER,6/7/00,1,SAMPLEABLE,WADEABLE,Y,33.46021,-109.1817,33.460278,-109.181944,33,27,37,109,10,54,33,27,37,109,10,55,3D,Y,VERIFIED,Y,N,N,N,Y, ,3,75,75,150, ,AZ, ,  
WAZP99-0615,2000,1,CONKLIN CREEK,6/17/00,1,SAMPLEABLE,INTWADE,Y,33.681,-109.44518,33.681389,-109.445,33,40,51,109,26,42,33,40,53,109,26,42,3D,Y,VERIFIED,Y,N,N,N,Y, ,2,75,75,150, ,AZ, ,  
WAZP99-0619,2000,1,VERDE RIVER,6/19/00,1,SAMPLEABLE,WADEABLE,Y,34.67929,-111.95341,34.679167,-111.953611,34,40,45,111,57,12,34,40,45,111,57,13,3D,Y,VERIFIED,Y,N,N,Y,Y, ,16,320,320,640, ,AZ, ,  
WAZP99-0632,2001,1,TONTO CREEK,5/22/01,1,SAMPLEABLE,WADEABLE,Y,34.27915,-111.07074,34.28333,-111.07086,34,16,45,111,4,15,34,17,0,111,4,15,3D,N,VERIFIED,Y,N,Y,Y,Y, ,7,140,140,280,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0639,2001,1,CAMPBELL BLUE CREEK,5/31/01,1,SAMPLEABLE,WADEABLE,Y,33.75029,-109.21598,33.75005,-109.21603,33,45,1,109,12,58,33,45,0,109,12,58,2D,Y,VERIFIED,Y,N,N,N,Y, ,1,75,75,150,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0645,2001,1,NUTRIOSO CREEK,6/13/01,1,SAMPLEABLE,WADEABLE,Y,33.94858,-109.20244,33.94858,-109.20244,33,56,55,109,12,9,33,56,55,109,12,9,3D,Y,VERIFIED,Y,N,N,N,Y, ,2,75,75,150,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0648,2001,1,SILVER CREEK,6/1/01,1,SAMPLEABLE,PARBYWADE,Y,34.34528,-109.96471,34.34528,-109.96471,34,20,43,109,57,53,34,20,43,109,57,53,3D,Y,VERIFIED,Y,Y,Y,Y,Y, ,8,0,175,175,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0649,2001,1,BURRO CREEK,5/25/01,1,SAMPLEABLE,WADEABLE,Y,34.55402,-113.53074,34.55402,-113.53074,34,33,14,113,31,51,34,33,14,113,31,51,3D,Y,VERIFIED,Y,N,N,N,Y, ,9,180,180,360,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0653,2001,1,NAZLINI CREEK,6/28/01,1,SAMPLEABLE,WADEABLE,Y,35.91804,-109.3968,35.91804,-109.3968,35,55,5,109,23,48,35,55,5,109,23,48,3D,Y,VERIFIED,Y,Y,Y,Y,Y, ,2,75,75,150,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0669,2001,1,TSAILE CREEK,6/27/01,1,SAMPLEABLE,WADEABLE,Y,36.35491,-109.10664,36.35491,-109.11306,36,21,18,109,6,24,36,21,18,109,6,47,3D,N,VERIFIED,Y,Y,Y,Y,Y, ,2,75,75,150,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0681,2001,1,BLUE RIVER,6/19/01,1,SAMPLEABLE,WADEABLE,Y,33.23999,-109.19103,33.24044,-109.1915,33,14,24,109,11,28,33,14,26,109,11,29,3D,Y,VERIFIED,Y,Y,Y,Y,Y, ,3,75,75,150,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0687,2001,1,CENTERFIRE CREEK,5/30/01,1,SAMPLEABLE,WADEABLE,Y,33.75989,-109.43339,33.7596,-109.43362,33,45,36,109,26,0,33,45,35,109,26,1,3D,Y,VERIFIED,Y,N,Y,Y,Y, ,1,75,75,150,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0701,2001,1,BONITO CREEK,6/26/01,1,SAMPLEABLE,WADEABLE,Y,35.83849,-109.11306,35.83849,-109.11306,35,50,19,109,6,47,35,50,19,109,6,47,3D,Y,VERIFIED,Y,Y,N,N,Y, ,1,75,75,150,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0712,2002,1,VIRGIN RIVER,8/1/02,1,SAMPLEABLE,WADEABLE,Y,36.80649,-114.01602,36.80662,-114.01601,36,48,23,114,0,58,36,48,24,114,0,58,3D,Y,VERIFIED,Y,N,N,N,N, ,11,220,220,440,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0716,2002,1,BEAVER CREEK,6/20/02,1,SAMPLEABLE,WADEABLE,Y,34.60769,-111.8295,34.613333,-111.829444,34,36,28,111,49,46,34,36,48,111,49,46,3D,N,VERIFIED,Y,Y,N,N,Y, ,6,120,120,240,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0722,2002,1,THOMPSON CREEK,7/18/02,1,SAMPLEABLE,WADEABLE,Y,33.89038,-109.4873,33.53429,-109.29255,33,53,25,109,29,14,33,32,3,109,17,33,3D,N,VERIFIED,Y,N,Y,Y,Y, ,1,75,75,150,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0744,2002,1,BUBBLING SPRING CANYON,8/15/02,1,SAMPLEABLE,WADEABLE,Y,36.73297,-110.56828,36.73368,-110.56916,36,43,59,110,34,6,36,44,1,110,34,9,3D,Y,VERIFIED,Y,N,N,N,N, ,3,75,75,150,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0750,2003,1,EAGLE CREEK,7/30/03,1,SAMPLEABLE,WADEABLE,Y,33.13843,-109.49351,33.13848,-109.49345,33,8,18,109,29,37,33,8,19,109,29,36,3D,Y,VERIFIED,Y,N,N,N,N, ,3.4,170,170,340, ,AZ, ,  
WAZP99-0768,2002,1,BRIGHT ANGEL CREEK,9/15/02,1,SAMPLEABLE,WADEABLE,Y,36.1214,-112.07993,36.12175,-112.08102,36,7,17,112,4,48,36,7,18,112,4,52,2D,Y,VERIFIED,Y,Y,Y,N,Y, ,4,80,80,160,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0783,2002,1,LANPHIER CANYON,7/16/02,1,SAMPLEABLE,WADEABLE,Y,33.56385,-109.11079,33.33795,-109.06608,33,33,50,109,6,39,33,20,17,109,3,58,2D,N,VERIFIED,Y,Y,Y,Y,N, ,2,75,75,150,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0828,2002,1,NORTH FORK BLACK RIVER,8/13/02,1,SAMPLEABLE,WADEABLE,Y,33.86358,-109.31927,33.86291,-109.31918,33,51,49,109,19,9,33,51,46,109,19,9,3D,Y,VERIFIED,Y,N,N,N,N, ,4,80,80,160,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0833,2003,1,HAIGLER CREEK,6/10/03,1,SAMPLEABLE,WADEABLE,Y,34.19256,-111.03606,34.19247,-111.03604,34,11,33,111,2,10,34,11,33,111,2,10,3D,Y,VERIFIED,Y,N,N,N,N, ,4.5,90,90,180, ,AZ, ,  
WAZP99-0839,2003,1,SYCAMORE CREEK,5/6/03,1,SAMPLEABLE,WADEABLE,Y,34.35254,-111.96975,34.35254,-111.96963,34,21,9,111,58,11,34,21,9,111,58,11,3D,Y,VERIFIED,Y,N,N,N,N, ,3,75,75,150, ,AZ, ,  
WAZP99-0840,2002,1,SAN FRANCISCO RIVER,8/14/02,1,SAMPLEABLE,WADEABLE,Y,33.85105,-109.15069,33.85104,-109.15078,33,51,4,109,9,2,33,51,4,109,9,3,3D,Y,VERIFIED,Y,N,N,N,N, ,2,75,75,150,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0851,2002,1,TONTO CREEK,8/19/02,1,SAMPLEABLE,WADEABLE,Y,34.11861,-111.26927,34.12011,-111.27108,34,7,7,111,16,9,34,7,12,111,16,16,3D,Y,VERIFIED,Y,N,N,N,N, ,5,100,100,200,CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.,AZ, ,  
WAZP99-0861,2003,1,PARIA RIVER,5/28/03,1,SAMPLEABLE,WADEABLE,Y,36.86589,-111.59368,36.86636,-111.59352,36,51,57,111,35,37,36,51,59,111,35,37,3D,Y,VERIFIED,Y,N,N,N,N, ,6,120,120,240, ,AZ, ,  
WAZP99-0863,2003,1,CHERRY CREEK,5/14/03,1,SAMPLEABLE,WADEABLE,Y,33.80028,-110.83649,33.79992,-110.8364,33,48,1,110,50,11,33,48,0,110,50,11,3D,Y,VERIFIED,Y,N,N,N,N, ,5,100,100,200, ,AZ, ,  
WAZP99-0868,2003,1,CLOVER CREEK,6/3/03,1,SAMPLEABLE,WADEABLE,Y,34.55062,-111.40256,34.54989,-111.4021,34,33,2,111,24,9,34,33,0,111,24,8,2D,Y,VERIFIED,Y,N,N,N,N, ,6,120,120,240, ,AZ, ,  
WAZP99-0876,2003,1,WHEATFIELDS CREEK,6/17/03,1,SAMPLEABLE,WADEABLE,Y,36.20858,-109.13311,36.2086,-109.13293,36,12,31,109,7,59,36,12,31,109,7,59,3D,Y,VERIFIED,Y,N,N,N,N, ,2,75,75,150, ,AZ, ,  
WAZP99-0888,2003,1,FISH CREEK,5/20/03,1,SAMPLEABLE,WADEABLE,Y,33.68444,-109.39573,33.68441,-109.39652,33,41,4,109,23,45,33,41,4,109,23,47,3D,Y,VERIFIED,Y,N,N,Y,Y, ,5,100,100,200, ,AZ, ,  
WAZP99-0893,2003,1,CHERRY CREEK,5/13/03,1,SAMPLEABLE,WADEABLE,Y,33.92252,-110.90451,33.9225,-110.905278,33,55,21,110,54,16,33,55,21,110,54,19,2D,Y,VERIFIED,Y,N,N,N,N, ,6,120,120,240, ,AZ, ,  
WAZP99-0906,2003,1,LITTLE COLORADO RIVER,6/4/03,1,SAMPLEABLE,WADEABLE,Y,34.28429,-109.35198,34.28421,-109.3521,34,17,3,109,21,7,34,17,3,109,21,8,3D,Y,VERIFIED,Y,N,N,N,N, ,4,80,80,160, ,AZ, ,  
WCAP99-0501,2001,1,AGUA BLANCA CREEK,6/7/01,1,SAMPLEABLE,WADEABLE,Y,34.541667,-118.772778,34.541667,-118.77,34,32,30,118,46,22,34,32,30,118,46,12,3D,Y,VERIFIED,Y,Y,N,N,Y, ,4,80,80,160, ,CA, ,  
WCAP99-0503,2000,1,ILLILOUETTE CREEK,10/3/00, ,SAMPLEABLE,WADEABLE,Y,37.68178,-119.53587,37.683889,-119.534722,37,40,54,119,32,9,37,41,2,119,32,5,3D,Y,VERIFIED,Y,N,N,N,Y, ,6,120,120,240, ,CA, ,  
WCAP99-0505,2000,1,STUART FORK,8/9/00, ,SAMPLEABLE,WADEABLE,Y,40.86244,-122.90169,40.864167,-122.901944,40,51,45,122,54,6,40,51,51,122,54,7,3D,Y,VERIFIED,Y,N,N,N,Y, ,12,240,240,480, ,CA, ,  
WCAP99-0506,2000,1,SF PIT RIVER,8/29/00, ,SAMPLEABLE,WADEABLE,Y,41.22948,-120.40485,41.231944,-120.403889,41,13,46,120,24,17,41,13,55,120,24,14,3D,Y,VERIFIED,Y,N,N,N,Y, ,10,200,200,400, ,CA, ,  
WCAP99-0509,2001,1,BEAR CREEK,8/7/01,2,SAMPLEABLE,WADEABLE,Y,37.044444,-119.110278,37.044444,-119.110278,37,2,40,119,6,37,37,2,40,119,6,37,3D,Y,VERIFIED,Y,N,N,Y,Y, ,3,75,75,150, ,CA, ,  
WCAP99-0512,2001,1,NORTH FORK ELDER CREEK,8/29/01,1,SAMPLEABLE,WADEABLE,Y,40.035,-122.610833,40.035833,-122.608056,40,2,6,122,36,39,40,2,9,122,36,29,3D,Y,VERIFIED,Y,N,N,N,Y, ,3,75,75,150, ,CA, ,  
WCAP99-0515,2000,1,MIDDLE FORK YUBA RIVER,9/28/00, ,SAMPLEABLE,WADEABLE,Y,39.41396,-120.98036,39.414722,-120.981667,39,24,50,120,58,49,39,24,53,120,58,54,3D,Y,VERIFIED,Y,N,N,N,Y, ,4,80,80,160, ,CA, ,  
WCAP99-0521,2000,1,JAMISON CREEK,8/30/00, ,SAMPLEABLE,WADEABLE,Y,39.81211,-120.68135,39.813611,-120.680556,39,48,44,120,40,53,39,48,49,120,40,50,3D,Y,VERIFIED,Y,N,N,N,Y, ,6,120,120,240, ,CA, ,  
WCAP99-0527,2001,1,LITTLE DYE CREEK,8/20/01,1,SAMPLEABLE,WADEABLE,Y,40.1075,-122.03,40.108056,-122.029444,40,6,27,122,1,48,40,6,29,122,1,46,3D,Y,VERIFIED,Y,N,N,Y,N, ,6,120,120,240, ,CA, ,  
WCAP99-0534,2000,1,PIRU CREEK,6/20/00, ,SAMPLEABLE,WADEABLE,Y,34.61359,-118.77983,34.615,-119.778611,34,36,49,118,46,47,34,36,54,119,46,43,3D,Y,VERIFIED,Y,N,N,N,Y, ,4,80,80,160, ,CA, ,  
WCAP99-0535,2000,1,PIRU CREEK,6/13/00, ,SAMPLEABLE,WADEABLE,Y,34.43957,-118.75907,34.441111,-118.76,34,26,22,118,45,33,34,26,28,118,45,36,3D,Y,VERIFIED,Y,N,N,N,Y, ,6,120,120,240, ,CA, ,  
WCAP99-0536,2000,1,MATILIJA CREEK,6/14/00, ,SAMPLEABLE,WADEABLE,Y,34.5196,-119.40537,34.517222,-119.403889,34,31,11,119,24,19,34,31,2,119,24,14,3D,Y,VERIFIED,Y,N,N,N,Y, ,4,80,80,160, ,CA, ,  
WCAP99-0539,2000,1,STONE CREEK,7/19/00, ,SAMPLEABLE,INTWADE,Y,33.77174,-116.76959,33.772222,-116.7675,33,46,18,116,46,11,33,46,20,116,46,3,3D,Y,VERIFIED,Y,Y,N,N,Y, ,0,75,75,150, ,CA, ,  
WCAP99-0540,2000,1,PIRU CREEK,6/21/00, ,SAMPLEABLE,WADEABLE,Y,34.65136,-119.11845,34.651667,-119.116667,34,39,5,119,7,6,34,39,6,119,7,0,3D,Y,VERIFIED,Y,N,N,N,Y, ,1,75,75,150, ,CA, ,  
WCAP99-0542,2000,1,EL JARO CREEK,7/11/00, ,SAMPLEABLE,WADEABLE,Y,34.55085,-120.35832,34.548889,-120.359444,34,33,3,120,21,30,34,32,56,120,21,34,3D,Y,VERIFIED,Y,N,N,N,Y, ,3,75,75,150, ,CA, ,  
WCAP99-0550,2000,1,COLD CREEK,6/27/00,1,SAMPLEABLE,WADEABLE,Y,34.16471,-116.97444,34.164722,-116.976667,34,9,53,116,58,28,34,9,53,116,58,36,3D,Y,VERIFIED,Y,N,N,N,Y, ,1,75,75,150, ,CA, ,  
WCAP99-0552,2000,1,ARROYO SECO,7/25/00, ,SAMPLEABLE,WADEABLE,Y,34.23908,-118.18059,34.238056,-118.178333,34,14,21,118,10,50,34,14,17,118,10,42,3D,Y,VERIFIED,Y,N,N,N,Y, ,3,75,75,150, ,CA, ,  
WCAP99-0558,2000,1,UNKNOWN,6/28/00,1,SAMPLEABLE,WADEABLE,Y,34.49347,-118.45703,34.495,-118.457778,34,29,36,118,27,25,34,29,42,118,27,28,3D,Y,VERIFIED,Y,N,N,N,Y, ,4,80,80,160, ,CA, ,  
WCAP99-0560,2000,1,SESPE CREEK,7/13/00, ,SAMPLEABLE,WADEABLE,Y,34.55841,-119.14079,34.558611,-119.1425,34,33,30,119,8,27,34,33,31,119,8,33,3D,Y,VERIFIED,Y,N,N,N,Y, ,7,140,140,280, ,CA, ,  
WCAP99-0563,2001,1,WEST FORK ALDER CREEK,6/21/01,1,SAMPLEABLE,WADEABLE,Y,34.347222,-118.048611,34.347222,-118.048889,34,20,50,118,2,55,34,20,50,118,2,56,3D,Y,VERIFIED,Y,N,N,N,Y, ,1,75,75,150, ,CA, ,  
WCAP99-0574,2000,1,SQUIRREL GULCH,8/15/00, ,SAMPLEABLE,WADEABLE,Y,41.0483,-122.65529,41.050833,-122.655,41,2,54,122,39,19,41,3,3,122,39,18,3D,Y,VERIFIED,Y,N,N,N,Y, ,1,75,75,150, ,CA, ,  
WCAP99-0581,2001,1,PROSPECT CREEK,7/26/01,1,SAMPLEABLE,INTWADE,Y,40.254167,-123.107778,40.255,-123.105833,40,15,15,123,6,28,40,15,18,123,6,21,3D,Y,VERIFIED,Y,N,N,N,N, ,1,75,75,150, ,CA, ,  
WCAP99-0583,2001,1,UNNAMED CREEK,8/1/01,1,SAMPLEABLE,WADEABLE,Y,41.708333,-123.130833,41.710278,-123.128333,41,42,30,123,7,51,41,42,37,123,7,42,3D,Y,VERIFIED,Y,N,N,N,Y, ,2,75,75,150,SAMPLING INCOMPLETE DUE TO TIME CONSTRAINTS. FISH SAMPLING AND STREAM DISCHARGE COMPLETED 08/14/2001.,CA, ,  
WCAP99-0587,2000,1,GRASSY FLAT CREEK,8/16/00, ,SAMPLEABLE,WADEABLE,Y,40.62725,-123.37293,40.626944,-123.371667,40,37,38,123,22,23,40,37,37,123,22,18,3D,Y,VERIFIED,Y,N,N,N,Y, ,3,75,75,150, ,CA, ,  
WCAP99-0590,2000,1,NORTH FORK NAVARRO RIVER,8/24/00, ,SAMPLEABLE,WADEABLE,Y,39.18657,-123.54806,39.186667,-123.547222,39,11,12,123,32,53,39,11,12,123,32,50,3D,Y,VERIFIED,Y,N,N,N,Y, ,3,75,75,150, ,CA, ,  
WCAP99-0592,2000,1,EDDY CREEK,9/12/00, ,SAMPLEABLE,WADEABLE,Y,41.3626,-122.51875,41.363056,-122.520833,41,21,45,122,31,7,41,21,47,122,31,15,3D,Y,VERIFIED,Y,N,N,N,Y, ,2,75,75,150, ,CA, ,  
WCAP99-0593,2001,1,BIG CREEK,8/28/01,1,SAMPLEABLE,WADEABLE,Y,40.847222,-123.399444,40.846944,-123.398056,40,50,50,123,23,58,40,50,49,123,23,53, ,Y,VERIFIED,Y,Y,N,N,Y, , ,75,75,150, ,CA, ,  
WCAP99-0598,2002,1,MCNEL CREEK,9/17/02,1,SAMPLEABLE,WADEABLE,Y,41.244444,-123.328056,41.245556,-123.326667,41,14,40,123,19,41,41,14,44,123,19,36,3D,Y,VERIFIED,Y,N,N,Y,Y, ,3,75,75,150, ,CA, ,  
WCAP99-0600,2000,1,PRICE CREEK,8/2/00, ,SAMPLEABLE,WADEABLE,Y,40.52712,-124.17024,40.529722,-124.169167,40,31,38,124,10,13,40,31,47,124,10,9,3D,Y,VERIFIED,Y,N,N,N,Y, ,3,75,75,150, ,CA, ,  
WCAP99-0604,2000,1,DUCK LAKE CREEK,9/13/00, ,SAMPLEABLE,WADEABLE,Y,41.33837,-122.9178,41.339722,-122.918611,41,20,18,122,55,4,41,20,23,122,55,7,3D,Y,VERIFIED,Y,N,N,N,Y, ,3,75,75,150, ,CA, ,  
WCAP99-0605,2000,1,REDWOOD CREEK,9/19/00, ,SAMPLEABLE,WADEABLE,Y,40.89154,-123.80843,40.892778,-123.807222,40,53,30,123,48,30,40,53,34,123,48,26,3D,Y,VERIFIED,Y,N,N,N,Y, ,13,260,260,520, ,CA, ,  
WCAP99-0606,2000,1,HOLLOW TREE CREEK,8/23/00, ,SAMPLEABLE,WADEABLE,Y,39.79937,-123.74491,39.799167,-123.747222,39,47,58,123,44,42,39,47,57,123,44,50,3D,Y,VERIFIED,Y,N,N,N,Y, ,4,80,80,160, ,CA, ,  
WCAP99-0613,2000,1,INDIAN CREEK EAST FORK,8/8/00, ,SAMPLEABLE,WADEABLE,Y,41.88844,-123.41309,41.885833,-123.415278,41,53,18,123,24,47,41,53,9,123,24,55,3D,Y,VERIFIED,Y,N,N,N,Y, ,5,100,100,200, ,CA, ,  
WCAP99-0614,2003,1,"AUSTIN CREEK, EAST",8/20/03,1,SAMPLEABLE,WADEABLE,Y,38.541667,-123.071389,38.539167,-123.070556,38,32,30,123,4,17,38,32,21,123,4,14,3D,Y,VERIFIED,Y,N,N,N,N, ,4,80,80,160, ,CA, ,  
WCAP99-0618,2003,1,LAWRENCE CREEK,7/23/03,2,SAMPLEABLE,WADEABLE,Y,40.656667,-123.980278,40.659167,-123.979722,40,39,24,123,58,49,40,39,33,123,58,47,3D,Y,VERIFIED,Y,N,N,N,Y, ,5,100,100,200, ,CA, ,  
WCAP99-0619,2000,1,HAYSHED GULCH,8/22/00, ,SAMPLEABLE,WADEABLE,Y,39.40743,-123.74067,39.410278,-123.741389,39,24,27,123,44,26,39,24,37,123,44,29,3D,Y,VERIFIED,Y,N,N,N,Y, ,1,75,75,150, ,CA, ,  
WCAP99-0624,2001,1,DRY CREEK,8/22/01,2,SAMPLEABLE,WADEABLE,Y,38.675556,-121.446111,38.675556,-121.446389,38,40,32,121,26,46,38,40,32,121,26,47,3D,Y,VERIFIED,Y,N,Y,Y,Y, ,6,120,120,240, ,CA, ,  
WCAP99-0625,2001,1,NORTH FORK BACKBONE CREEK,9/11/01,1,SAMPLEABLE,WADEABLE,Y,40.856944,-122.488889,40.859167,-122.491667,40,51,25,122,29,20,40,51,33,122,29,30,3D,Y,VERIFIED,Y,N,N,Y,Y, ,4,80,80,160, ,CA, ,  
WCAP99-0629,2002,1,CHARITY VALLEY CREEK,6/27/02,1,SAMPLEABLE,WADEABLE,Y,38.695556,-119.875278,38.6975,-119.877778,38,41,44,119,52,31,38,41,51,119,52,40,3D,Y,VERIFIED,Y,N,N,Y,Y, ,4,80,80,160, ,CA, ,  
WCAP99-0654,2001,1,REVOLON SLOUGH,6/13/01,1,SAMPLEABLE,WADEABLE,Y,34.165,-119.090556,34.161667,-119.091944,34,9,54,119,5,26,34,9,42,119,5,31,3D,N,VERIFIED,Y,N,N,N,Y, ,3,75,75,150, ,CA, ,  
WCAP99-0658,2001,1,FULLER MILL CREEK,5/9/01,1,SAMPLEABLE,WADEABLE,Y,33.798333,-116.748333,33.798611,-116.748333,33,47,54,116,44,54,33,47,55,116,44,54,3D,Y,VERIFIED,Y,N,N,Y,Y, ,4,80,80,160, ,CA, ,  
